client_id,Delinquent90
75000,0.07
75001,0.61
75002,0.0
75003,0.17
75004,0.0
75005,0.02
75006,0.0
75007,0.0
75008,0.02
75009,0.1
75010,0.12
75011,0.0
75012,0.13
75013,0.0
75014,0.35
75015,0.35
75016,0.16
75017,0.08
75018,0.0
75019,0.07
75020,0.0
75021,0.07
75022,0.13
75023,0.0
75024,0.07
75025,0.16
75026,0.0
75027,0.0
75028,0.03
75029,0.0
75030,0.01
75031,0.0
75032,0.05
75033,0.08
75034,0.0
75035,0.0
75036,0.0
75037,0.0
75038,0.0
75039,0.12
75040,0.01
75041,0.0
75042,0.0
75043,0.0
75044,0.04
75045,0.15
75046,0.0
75047,0.02
75048,0.13
75049,0.17
75050,0.0
75051,0.0
75052,0.23
75053,0.01
75054,0.01
75055,0.02
75056,0.02
75057,0.1
75058,0.0
75059,0.05
75060,0.14
75061,0.0
75062,0.08
75063,0.0
75064,0.02
75065,0.02
75066,0.04
75067,0.01
75068,0.03
75069,0.0
75070,0.01
75071,0.06
75072,0.03
75073,0.0
75074,0.07
75075,0.01
75076,0.0
75077,0.04
75078,0.12
75079,0.0
75080,0.01
75081,0.2
75082,0.0
75083,0.01
75084,0.01
75085,0.01
75086,0.04
75087,0.01
75088,0.0
75089,0.01
75090,0.0
75091,0.04
75092,0.18
75093,0.01
75094,0.0
75095,0.02
75096,0.0
75097,0.03
75098,0.04
75099,0.04
75100,0.07
75101,0.0
75102,0.0
75103,0.03
75104,0.34
75105,0.18
75106,0.01
75107,0.1
75108,0.01
75109,0.01
75110,0.0
75111,0.12
75112,0.0
75113,0.0
75114,0.0
75115,0.01
75116,0.0
75117,0.0
75118,0.0
75119,0.4
75120,0.0
75121,0.13
75122,0.0
75123,0.25
75124,0.0
75125,0.01
75126,0.0
75127,0.02
75128,0.24
75129,0.03
75130,0.12
75131,0.02
75132,0.39
75133,0.01
75134,0.33
75135,0.1
75136,0.24
75137,0.0
75138,0.0
75139,0.02
75140,0.0
75141,0.01
75142,0.1
75143,0.01
75144,0.09
75145,0.41
75146,0.18
75147,0.0
75148,0.08
75149,0.02
75150,0.37
75151,0.03
75152,0.15
75153,0.03
75154,0.03
75155,0.02
75156,0.0
75157,0.0
75158,0.01
75159,0.04
75160,0.02
75161,0.04
75162,0.26
75163,0.01
75164,0.0
75165,0.0
75166,0.07
75167,0.13
75168,0.05
75169,0.06
75170,0.11
75171,0.01
75172,0.02
75173,0.0
75174,0.01
75175,0.01
75176,0.03
75177,0.01
75178,0.0
75179,0.06
75180,0.01
75181,0.07
75182,0.11
75183,0.01
75184,0.33
75185,0.07
75186,0.04
75187,0.0
75188,0.08
75189,0.0
75190,0.09
75191,0.02
75192,0.08
75193,0.0
75194,0.34
75195,0.0
75196,0.08
75197,0.07
75198,0.14
75199,0.02
75200,0.01
75201,0.35
75202,0.1
75203,0.0
75204,0.03
75205,0.01
75206,0.01
75207,0.21
75208,0.02
75209,0.02
75210,0.01
75211,0.05
75212,0.14
75213,0.06
75214,0.12
75215,0.01
75216,0.0
75217,0.24
75218,0.01
75219,0.06
75220,0.1
75221,0.07
75222,0.0
75223,0.0
75224,0.06
75225,0.02
75226,0.0
75227,0.0
75228,0.04
75229,0.12
75230,0.09
75231,0.01
75232,0.11
75233,0.0
75234,0.06
75235,0.0
75236,0.05
75237,0.18
75238,0.06
75239,0.0
75240,0.0
75241,0.0
75242,0.33
75243,0.0
75244,0.0
75245,0.24
75246,0.0
75247,0.0
75248,0.03
75249,0.0
75250,0.12
75251,0.0
75252,0.03
75253,0.0
75254,0.01
75255,0.0
75256,0.03
75257,0.22
75258,0.0
75259,0.15
75260,0.09
75261,0.11
75262,0.02
75263,0.0
75264,0.01
75265,0.01
75266,0.01
75267,0.03
75268,0.0
75269,0.0
75270,0.04
75271,0.01
75272,0.23
75273,0.0
75274,0.19
75275,0.01
75276,0.03
75277,0.0
75278,0.09
75279,0.0
75280,0.0
75281,0.05
75282,0.01
75283,0.01
75284,0.02
75285,0.01
75286,0.0
75287,0.08
75288,0.05
75289,0.0
75290,0.0
75291,0.0
75292,0.02
75293,0.23
75294,0.03
75295,0.04
75296,0.0
75297,0.01
75298,0.0
75299,0.01
75300,0.07
75301,0.53
75302,0.06
75303,0.03
75304,0.18
75305,0.0
75306,0.0
75307,0.02
75308,0.0
75309,0.06
75310,0.01
75311,0.12
75312,0.01
75313,0.2
75314,0.01
75315,0.0
75316,0.05
75317,0.05
75318,0.23
75319,0.03
75320,0.21
75321,0.01
75322,0.01
75323,0.04
75324,0.0
75325,0.29
75326,0.04
75327,0.29
75328,0.01
75329,0.09
75330,0.01
75331,0.02
75332,0.0
75333,0.12
75334,0.0
75335,0.14
75336,0.0
75337,0.16
75338,0.0
75339,0.06
75340,0.04
75341,0.0
75342,0.0
75343,0.07
75344,0.09
75345,0.01
75346,0.1
75347,0.09
75348,0.01
75349,0.03
75350,0.0
75351,0.0
75352,0.05
75353,0.0
75354,0.39
75355,0.0
75356,0.26
75357,0.15
75358,0.0
75359,0.05
75360,0.0
75361,0.35
75362,0.04
75363,0.0
75364,0.02
75365,0.02
75366,0.0
75367,0.0
75368,0.01
75369,0.35
75370,0.0
75371,0.02
75372,0.02
75373,0.24
75374,0.06
75375,0.02
75376,0.0
75377,0.05
75378,0.02
75379,0.04
75380,0.0
75381,0.0
75382,0.08
75383,0.16
75384,0.01
75385,0.03
75386,0.08
75387,0.1
75388,0.0
75389,0.05
75390,0.02
75391,0.05
75392,0.0
75393,0.02
75394,0.01
75395,0.1
75396,0.14
75397,0.0
75398,0.0
75399,0.0
75400,0.61
75401,0.0
75402,0.01
75403,0.01
75404,0.26
75405,0.26
75406,0.02
75407,0.05
75408,0.02
75409,0.05
75410,0.16
75411,0.05
75412,0.0
75413,0.02
75414,0.11
75415,0.05
75416,0.03
75417,0.1
75418,0.08
75419,0.02
75420,0.07
75421,0.01
75422,0.0
75423,0.07
75424,0.01
75425,0.04
75426,0.06
75427,0.38
75428,0.01
75429,0.0
75430,0.11
75431,0.02
75432,0.03
75433,0.0
75434,0.08
75435,0.0
75436,0.03
75437,0.0
75438,0.11
75439,0.0
75440,0.0
75441,0.0
75442,0.0
75443,0.08
75444,0.03
75445,0.04
75446,0.03
75447,0.72
75448,0.0
75449,0.09
75450,0.08
75451,0.01
75452,0.0
75453,0.0
75454,0.04
75455,0.01
75456,0.16
75457,0.07
75458,0.03
75459,0.04
75460,0.0
75461,0.06
75462,0.03
75463,0.08
75464,0.52
75465,0.0
75466,0.39
75467,0.0
75468,0.0
75469,0.11
75470,0.0
75471,0.02
75472,0.03
75473,0.04
75474,0.01
75475,0.0
75476,0.0
75477,0.01
75478,0.02
75479,0.03
75480,0.3
75481,0.02
75482,0.01
75483,0.0
75484,0.08
75485,0.11
75486,0.05
75487,0.04
75488,0.08
75489,0.58
75490,0.01
75491,0.0
75492,0.0
75493,0.03
75494,0.15
75495,0.0
75496,0.02
75497,0.02
75498,0.11
75499,0.0
75500,0.18
75501,0.03
75502,0.05
75503,0.01
75504,0.1
75505,0.0
75506,0.04
75507,0.02
75508,0.0
75509,0.21
75510,0.22
75511,0.38
75512,0.08
75513,0.08
75514,0.04
75515,0.04
75516,0.07
75517,0.07
75518,0.02
75519,0.0
75520,0.43
75521,0.0
75522,0.17
75523,0.0
75524,0.0
75525,0.1
75526,0.21
75527,0.01
75528,0.1
75529,0.0
75530,0.04
75531,0.0
75532,0.14
75533,0.18
75534,0.11
75535,0.06
75536,0.02
75537,0.0
75538,0.02
75539,0.46
75540,0.01
75541,0.06
75542,0.47
75543,0.44
75544,0.0
75545,0.17
75546,0.07
75547,0.0
75548,0.0
75549,0.01
75550,0.34
75551,0.01
75552,0.07
75553,0.38
75554,0.33
75555,0.0
75556,0.13
75557,0.0
75558,0.02
75559,0.0
75560,0.0
75561,0.05
75562,0.4
75563,0.04
75564,0.0
75565,0.01
75566,0.0
75567,0.23
75568,0.0
75569,0.2
75570,0.0
75571,0.0
75572,0.03
75573,0.01
75574,0.11
75575,0.0
75576,0.18
75577,0.0
75578,0.03
75579,0.03
75580,0.0
75581,0.01
75582,0.05
75583,0.33
75584,0.0
75585,0.01
75586,0.0
75587,0.04
75588,0.01
75589,0.03
75590,0.0
75591,0.46
75592,0.07
75593,0.0
75594,0.01
75595,0.32
75596,0.07
75597,0.04
75598,0.03
75599,0.03
75600,0.06
75601,0.0
75602,0.06
75603,0.0
75604,0.13
75605,0.02
75606,0.01
75607,0.48
75608,0.15
75609,0.07
75610,0.07
75611,0.02
75612,0.04
75613,0.0
75614,0.0
75615,0.0
75616,0.0
75617,0.75
75618,0.09
75619,0.01
75620,0.28
75621,0.15
75622,0.0
75623,0.02
75624,0.14
75625,0.08
75626,0.02
75627,0.05
75628,0.12
75629,0.05
75630,0.1
75631,0.05
75632,0.01
75633,0.08
75634,0.0
75635,0.01
75636,0.06
75637,0.06
75638,0.0
75639,0.11
75640,0.0
75641,0.02
75642,0.02
75643,0.03
75644,0.0
75645,0.13
75646,0.01
75647,0.01
75648,0.14
75649,0.02
75650,0.23
75651,0.04
75652,0.2
75653,0.11
75654,0.04
75655,0.09
75656,0.15
75657,0.01
75658,0.44
75659,0.13
75660,0.55
75661,0.03
75662,0.0
75663,0.13
75664,0.02
75665,0.52
75666,0.01
75667,0.0
75668,0.01
75669,0.03
75670,0.01
75671,0.03
75672,0.05
75673,0.0
75674,0.0
75675,0.62
75676,0.08
75677,0.06
75678,0.0
75679,0.06
75680,0.13
75681,0.01
75682,0.12
75683,0.0
75684,0.0
75685,0.03
75686,0.21
75687,0.06
75688,0.11
75689,0.03
75690,0.0
75691,0.01
75692,0.01
75693,0.02
75694,0.12
75695,0.23
75696,0.05
75697,0.02
75698,0.35
75699,0.03
75700,0.01
75701,0.0
75702,0.01
75703,0.07
75704,0.03
75705,0.09
75706,0.02
75707,0.14
75708,0.0
75709,0.24
75710,0.11
75711,0.2
75712,0.13
75713,0.15
75714,0.04
75715,0.01
75716,0.01
75717,0.0
75718,0.02
75719,0.0
75720,0.03
75721,0.0
75722,0.0
75723,0.0
75724,0.02
75725,0.02
75726,0.0
75727,0.02
75728,0.04
75729,0.03
75730,0.0
75731,0.01
75732,0.01
75733,0.0
75734,0.24
75735,0.34
75736,0.27
75737,0.02
75738,0.04
75739,0.0
75740,0.01
75741,0.0
75742,0.0
75743,0.0
75744,0.0
75745,0.05
75746,0.0
75747,0.04
75748,0.02
75749,0.01
75750,0.01
75751,0.0
75752,0.15
75753,0.01
75754,0.03
75755,0.0
75756,0.0
75757,0.08
75758,0.0
75759,0.03
75760,0.08
75761,0.0
75762,0.0
75763,0.12
75764,0.0
75765,0.0
75766,0.0
75767,0.29
75768,0.0
75769,0.12
75770,0.03
75771,0.0
75772,0.03
75773,0.0
75774,0.03
75775,0.25
75776,0.5
75777,0.01
75778,0.0
75779,0.0
75780,0.0
75781,0.32
75782,0.09
75783,0.36
75784,0.0
75785,0.27
75786,0.01
75787,0.08
75788,0.0
75789,0.04
75790,0.01
75791,0.02
75792,0.02
75793,0.03
75794,0.24
75795,0.01
75796,0.01
75797,0.01
75798,0.05
75799,0.03
75800,0.25
75801,0.17
75802,0.0
75803,0.01
75804,0.02
75805,0.01
75806,0.17
75807,0.01
75808,0.0
75809,0.09
75810,0.5
75811,0.12
75812,0.0
75813,0.03
75814,0.01
75815,0.07
75816,0.08
75817,0.07
75818,0.08
