client_id,Delinquent90
75000,0.05
75001,0.61
75002,0.0
75003,0.15
75004,0.0
75005,0.06
75006,0.02
75007,0.0
75008,0.02
75009,0.06
75010,0.2
75011,0.02
75012,0.09
75013,0.0
75014,0.32
75015,0.27
75016,0.19
75017,0.02
75018,0.0
75019,0.07
75020,0.03
75021,0.06
75022,0.13
75023,0.01
75024,0.03
75025,0.24
75026,0.0
75027,0.0
75028,0.04
75029,0.0
75030,0.02
75031,0.0
75032,0.03
75033,0.04
75034,0.01
75035,0.0
75036,0.02
75037,0.0
75038,0.0
75039,0.14
75040,0.02
75041,0.02
75042,0.0
75043,0.01
75044,0.05
75045,0.11
75046,0.01
75047,0.03
75048,0.2
75049,0.17
75050,0.0
75051,0.0
75052,0.23
75053,0.0
75054,0.01
75055,0.03
75056,0.02
75057,0.09
75058,0.02
75059,0.07
75060,0.14
75061,0.0
75062,0.1
75063,0.0
75064,0.05
75065,0.01
75066,0.04
75067,0.03
75068,0.04
75069,0.0
75070,0.04
75071,0.09
75072,0.05
75073,0.03
75074,0.12
75075,0.0
75076,0.01
75077,0.08
75078,0.16
75079,0.0
75080,0.02
75081,0.19
75082,0.01
75083,0.04
75084,0.0
75085,0.02
75086,0.04
75087,0.0
75088,0.0
75089,0.04
75090,0.0
75091,0.02
75092,0.13
75093,0.0
75094,0.02
75095,0.06
75096,0.0
75097,0.01
75098,0.01
75099,0.09
75100,0.12
75101,0.03
75102,0.0
75103,0.03
75104,0.15
75105,0.08
75106,0.02
75107,0.02
75108,0.0
75109,0.01
75110,0.0
75111,0.1
75112,0.0
75113,0.01
75114,0.0
75115,0.04
75116,0.0
75117,0.0
75118,0.01
75119,0.3
75120,0.0
75121,0.04
75122,0.0
75123,0.15
75124,0.01
75125,0.0
75126,0.0
75127,0.02
75128,0.17
75129,0.03
75130,0.19
75131,0.03
75132,0.29
75133,0.0
75134,0.26
75135,0.02
75136,0.14
75137,0.0
75138,0.0
75139,0.1
75140,0.0
75141,0.0
75142,0.1
75143,0.02
75144,0.15
75145,0.42
75146,0.17
75147,0.0
75148,0.06
75149,0.03
75150,0.32
75151,0.01
75152,0.15
75153,0.03
75154,0.01
75155,0.01
75156,0.0
75157,0.0
75158,0.0
75159,0.02
75160,0.03
75161,0.01
75162,0.24
75163,0.02
75164,0.01
75165,0.0
75166,0.06
75167,0.07
75168,0.02
75169,0.01
75170,0.14
75171,0.03
75172,0.06
75173,0.01
75174,0.01
75175,0.0
75176,0.04
75177,0.01
75178,0.0
75179,0.01
75180,0.0
75181,0.14
75182,0.05
75183,0.0
75184,0.33
75185,0.06
75186,0.08
75187,0.0
75188,0.04
75189,0.0
75190,0.08
75191,0.05
75192,0.08
75193,0.0
75194,0.3
75195,0.0
75196,0.06
75197,0.04
75198,0.13
75199,0.03
75200,0.02
75201,0.33
75202,0.05
75203,0.0
75204,0.06
75205,0.01
75206,0.02
75207,0.15
75208,0.0
75209,0.02
75210,0.0
75211,0.05
75212,0.16
75213,0.03
75214,0.16
75215,0.03
75216,0.01
75217,0.15
75218,0.05
75219,0.06
75220,0.02
75221,0.02
75222,0.0
75223,0.02
75224,0.03
75225,0.03
75226,0.0
75227,0.0
75228,0.05
75229,0.09
75230,0.11
75231,0.02
75232,0.15
75233,0.0
75234,0.07
75235,0.0
75236,0.05
75237,0.12
75238,0.07
75239,0.0
75240,0.0
75241,0.0
75242,0.28
75243,0.0
75244,0.01
75245,0.14
75246,0.0
75247,0.01
75248,0.01
75249,0.0
75250,0.03
75251,0.0
75252,0.02
75253,0.0
75254,0.02
75255,0.0
75256,0.0
75257,0.19
75258,0.02
75259,0.14
75260,0.09
75261,0.04
75262,0.08
75263,0.0
75264,0.0
75265,0.02
75266,0.01
75267,0.01
75268,0.01
75269,0.0
75270,0.04
75271,0.05
75272,0.33
75273,0.0
75274,0.17
75275,0.0
75276,0.06
75277,0.0
75278,0.06
75279,0.0
75280,0.01
75281,0.04
75282,0.0
75283,0.02
75284,0.02
75285,0.0
75286,0.0
75287,0.07
75288,0.08
75289,0.01
75290,0.0
75291,0.0
75292,0.06
75293,0.33
75294,0.04
75295,0.08
75296,0.0
75297,0.0
75298,0.01
75299,0.0
75300,0.06
75301,0.43
75302,0.04
75303,0.0
75304,0.27
75305,0.0
75306,0.01
75307,0.06
75308,0.0
75309,0.05
75310,0.02
75311,0.05
75312,0.01
75313,0.2
75314,0.0
75315,0.0
75316,0.01
75317,0.02
75318,0.18
75319,0.01
75320,0.23
75321,0.01
75322,0.03
75323,0.04
75324,0.01
75325,0.34
75326,0.02
75327,0.23
75328,0.04
75329,0.11
75330,0.0
75331,0.0
75332,0.0
75333,0.13
75334,0.0
75335,0.15
75336,0.01
75337,0.23
75338,0.0
75339,0.01
75340,0.01
75341,0.01
75342,0.0
75343,0.07
75344,0.12
75345,0.0
75346,0.08
75347,0.05
75348,0.0
75349,0.04
75350,0.0
75351,0.0
75352,0.04
75353,0.0
75354,0.32
75355,0.0
75356,0.26
75357,0.14
75358,0.0
75359,0.01
75360,0.01
75361,0.33
75362,0.07
75363,0.0
75364,0.0
75365,0.02
75366,0.0
75367,0.0
75368,0.01
75369,0.27
75370,0.0
75371,0.0
75372,0.03
75373,0.29
75374,0.03
75375,0.01
75376,0.0
75377,0.07
75378,0.03
75379,0.03
75380,0.0
75381,0.01
75382,0.14
75383,0.19
75384,0.01
75385,0.02
75386,0.05
75387,0.11
75388,0.0
75389,0.01
75390,0.0
75391,0.05
75392,0.0
75393,0.04
75394,0.02
75395,0.1
75396,0.19
75397,0.0
75398,0.0
75399,0.02
75400,0.6
75401,0.0
75402,0.01
75403,0.01
75404,0.21
75405,0.22
75406,0.0
75407,0.07
75408,0.05
75409,0.01
75410,0.23
75411,0.14
75412,0.03
75413,0.02
75414,0.12
75415,0.07
75416,0.06
75417,0.07
75418,0.03
75419,0.0
75420,0.05
75421,0.0
75422,0.02
75423,0.14
75424,0.0
75425,0.04
75426,0.05
75427,0.45
75428,0.01
75429,0.01
75430,0.06
75431,0.02
75432,0.01
75433,0.01
75434,0.11
75435,0.02
75436,0.03
75437,0.0
75438,0.03
75439,0.0
75440,0.01
75441,0.0
75442,0.0
75443,0.03
75444,0.05
75445,0.05
75446,0.01
75447,0.67
75448,0.01
75449,0.09
75450,0.1
75451,0.0
75452,0.02
75453,0.0
75454,0.03
75455,0.0
75456,0.13
75457,0.07
75458,0.01
75459,0.05
75460,0.02
75461,0.04
75462,0.0
75463,0.03
75464,0.47
75465,0.0
75466,0.48
75467,0.01
75468,0.0
75469,0.14
75470,0.0
75471,0.03
75472,0.02
75473,0.09
75474,0.02
75475,0.0
75476,0.0
75477,0.02
75478,0.07
75479,0.02
75480,0.27
75481,0.02
75482,0.0
75483,0.0
75484,0.07
75485,0.06
75486,0.04
75487,0.01
